"Priority","URL","Primary intent","Pricing","Inclusions/exclusions/process/FAQ","Real media","Complete case","Internal cluster","Decision"
"P1","/","клінінг Черкаси","Summary prices and /prices link","Homepage scope and CTA","Office/car and service media","Not required for homepage","Six primary directions plus secondary categories","PROTECT; monitor mapping"
"P1","/prices","ціни на клінінг Черкаси","Source of truth with semantic table","Price logic, FAQ and service links","Illustrative price media","Not required for price hub","Links to service landings","PROTECT; update only when verified prices change"
"P1","/prybyrannya-kvartyr-cherkasy","прибирання квартир Черкаси","Supporting/general/post-renovation price logic","Full shared landing structure and FAQ","Real apartment visuals","Partial only","Apartment cluster","Add one complete verified apartment case when available"
"P1","/generalne-prybyrannya-cherkasy","генеральне прибирання приміщень Черкаси","Starting price logic","Full landing structure and FAQ","Relevant real/service media","No complete attributed case","General cluster","Hold metadata; collect one verified case"
"P1","/prybyrannya-pislya-remontu-cherkasy","прибирання після ремонту Черкаси","120 грн/m² plus confirmed window calculation","Full landing structure and FAQ","Three relevant before/after examples","Yes: 100 m², approximate 18,000 грн","Renovation cluster","Strongest evidence page; protect"
"P1","/himchystka-mebliv-cherkasy","хімчистка м’яких меблів Черкаси","Object-specific starting prices","Full landing structure and FAQ","Real before/after assets","Partial only","Furniture hub to object pages","Add source-attributed case/review when confirmed"
"P1","/himchystka-avto-cherkasy","хімчистка авто Черкаси","Confirmed service menu prices","Full landing structure and FAQ","Real box/equipment/process photos","Partial only","Auto plus related cleaning pages","Quick win; add one complete vehicle case when available"
"P1","/myttya-vikon-cherkasy","миття вікон Черкаси","160 грн/m²; post-renovation work separated","Full landing structure and FAQ","Real before/after window details","Partial only","Windows/renovation/facades","Monitor homepage overlap; collect case metrics"
"P2","/prybyrannya-ofisiv-cherkasy","прибирання офісів Черкаси","B2B calculation logic","Full landing structure and FAQ","Relevant service media","No confirmed named case","Office/B2B cluster","Need permission-based B2B case"
"P2","/prybyrannya-komertsiynykh-prymishchen-cherkasy","комерційний клінінг Черкаси","Individual calculation","Hub content; FAQ depth weaker than top P1 pages","Relevant service media","No confirmed named case","Links to B2B verticals","Improve only with verified sector facts and cases"
